#Type	Kind	Base	Namespace	Path	Gate	Summary
DragThrow2D	class	MonoBehaviour	SombraStudios.Shared.Gameplay.Drag	Gameplay/Drag/DragThrow2D.cs	-	Class to drag and throw and object with the mouse over the Z Camera axis
DropMe	class	MonoBehaviour	SombraStudios.Shared.UI.ImageDrag	UI/ImageDrag/DropMe.cs	-	-
EditorModeConditionSO	class	ConditionSO	SombraStudios.Shared.ScriptableObjects.Conditions	ScriptableObjects/Conditions/EditorModeConditionSO.cs	-	Represents a condition that evaluates whether the application is running in the Unity Editor
EnumExtensions	class	-	SombraStudios.Shared.Extensions	Extensions/EnumExtensions.cs	-	Provides extension methods for working with enums, particularly those marked with the [Flags] attribute
EventActionSO	class	ScriptableObject	SombraStudios.Shared.Systems.Events	Systems/Events/EventActionSO.cs	-	Abstract base class for defining event actions with configurable execution, conditions, and logging
EventBinding<T>	class	IEventBinding	SombraStudios.Shared.Patterns.Behavioural.Observer.EventBus	Patterns/Behavioural/Observer/EventBus/EventBinding.cs	-	Represents a binding for events in the event bus system
EventBus<T>	class	IEvent	SombraStudios.Shared.Patterns.Behavioural.Observer.EventBus	Patterns/Behavioural/Observer/EventBus/EventBus.cs	-	A static class that represents an event bus for managing event bindings and raising events
EventBusUtil	class	-	SombraStudios.Shared.Patterns.Behavioural.Observer.EventBus	Patterns/Behavioural/Observer/EventBus/EventBusUtil.cs	-	Contains methods and properties related to event buses and event types in the Unity application
EventSequencer	class	MonoBehaviour	SombraStudios.Shared.Systems.Events	Systems/Events/EventSequencer.cs	-	Manages the execution of a sequence of event steps, allowing for starting, stopping, pausing, resetting, and skipping steps or actions
EventsStepSO	class	ScriptableObject	SombraStudios.Shared.Systems.Events	Systems/Events/EventsStepSO.cs	-	-
ExampleDependant	class	MonoBehaviour	SombraStudios.Shared.Patterns.InversionOfControl.DependencyInjection.Example	Patterns/InversionOfControl/DependencyInjection/Example/ExampleDependant.cs	-	We can have all of our dependencies obtained from outside without caring about where they are, or even if they are singletons or not
ExampleDependenciesContext	class	DependenciesContext	SombraStudios.Shared.Patterns.InversionOfControl.DependencyInjection.Example	Patterns/InversionOfControl/DependencyInjection/Example/ExampleDependenciesContext.cs	-	MonoBehaviour in the scene
ExampleDependencyMonobehaviour	class	MonoBehaviour	SombraStudios.Shared.Patterns.InversionOfControl.DependencyInjection.Example	Patterns/InversionOfControl/DependencyInjection/Example/ExampleDependencyMonobehaviour.cs	-	Example class
ExampleDependencyNested	class	MonoBehaviour	SombraStudios.Shared.Patterns.InversionOfControl.DependencyInjection.Example	Patterns/InversionOfControl/DependencyInjection/Example/ExampleDependencyNested.cs	-	In this case scneario, the nested class is in a Prefab as you can see on ExampleDependenciesContext line 35
ExampleDependencyPlainClass	class	-	SombraStudios.Shared.Patterns.InversionOfControl.DependencyInjection.Example	Patterns/InversionOfControl/DependencyInjection/Example/ExampleDependencyPlainClass.cs	-	-
Factory	class	MonoBehaviour	SombraStudios.Shared.Patterns.Creational.FactoryMethod	Patterns/Creational/FactoryMethod/Factory.cs	-	Abstract factory class for creating product instances
FillSliderTrigger	class	MonoBehaviour	SombraStudios.Shared.UI	UI/FillSliderTrigger.cs	-	Triggers an event when a slider bar is filled using an input Compatibility with both, legacy and the new Input System
FirebaseExceptionHelper	class	-	SombraStudios.Shared.Services.Firebase	Services/Firebase/FirebaseExceptionHelper.cs	FIREBASE_APP && FIREBASE_AUTH	Method to return exception error message from a Firebase Excception Known issue: Conflict with Task de Unity.Tasks
FloatEventChannelListener	class	GenericEventChannelListener	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects	Patterns/Behavioural/Observer/ScriptableObjects/Listeners/Implementations/FloatEventChannelListener.cs	-	A listener class for float event channels
FloatEventChannelListListener	class	GenericEventChannelListListener	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects	Patterns/Behavioural/Observer/ScriptableObjects/Listeners/Implementations/FloatEventChannelListListener.cs	-	A listener class for float event channels
FloatEventChannelSO	class	GenericEventChannelSO	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects	Patterns/Behavioural/Observer/ScriptableObjects/EventChannels/FloatEventChannelSO.cs	-	ScriptableObject event channel for events with a float parameter
FloatEventChannelSOEditor	class	GenericEventChannelSOEditor	SombraStudios.Shared.Patterns.Behavioural.Observer.ScriptableObjects.Editor	Patterns/Behavioural/Observer/ScriptableObjects/Editor/FloatEventChannelSOEditor.cs	-	Editor script to add a custom Inspector to the FloatEventChannelSO
FloatResource	class	Resource	SombraStudios.Shared.Systems.Resource	Systems/Resource/Implementations/FloatResource.cs	-	Serializable class representing a float resource
FloatResourceSystem	class	ResourceSystem	SombraStudios.Shared.Systems.Resource	Systems/Resource/Implementations/FloatResourceSystem.cs	-	Resource system for managing a float resource
FloatResourceSystemData	class	ResourceSystemDataSO	SombraStudios.Shared.Systems.Resource	Systems/Resource/Implementations/FloatResourceSystemData.cs	-	ScriptableObject class to hold float resource system data
FloatStat	class	Stat	SombraStudios.Shared.Systems.Stats	Systems/Stats/StatTypes/FloatStat.cs	-	Represents a flot stat
FlyweightFactory	class	PersistentSingleton	SombraStudios.Shared.Patterns.Creational.FlyweightFactoryPool	Patterns/Creational/FlyweightFactoryPool/FlyweightFactory.cs	-	Factory singleton that manages object pools for flyweight objects
FlyweightPooledObject	class	MonoBehaviour	SombraStudios.Shared.Patterns.Creational.FlyweightFactoryPool	Patterns/Creational/FlyweightFactoryPool/FlyweightPooledObject.cs	-	Represents an object that can be pooled using the Flyweight Factory Pool pattern
FlyweightPoolSettings	class	ScriptableObject	SombraStudios.Shared.Patterns.Creational.FlyweightFactoryPool	Patterns/Creational/FlyweightFactoryPool/FlyweightPoolSettings.cs	-	ScriptableObject that defines the configuration settings for a Flyweight Factory Pool
FollowTarget	class	MonoBehaviour	SombraStudios.Shared.Gameplay.Movement2D	Gameplay/Movement2D/FollowTarget.cs	-	Follot target script with look at target option
FootstepAudioClipListSO	class	ScriptableObject	SombraStudios.Shared.Audio.Footsteps	Audio/Footsteps/ScriptableObjects/FootstepAudioClipListSO.cs	-	SO used by the Footsteps Controller script to separate list of clips depending of checking Collisions with Tags
FootstepController	class	MonoBehaviour	SombraStudios.Shared.Audio.Footsteps	Audio/Footsteps/Abstract/FootstepController.cs	-	Uses FootstepAudioClipListSO to run foot step clips depending of the Tag of the floor by its collision
FormNavigation	class	MonoBehaviour	SombraStudios.Shared.UI	UI/FormNavigation.cs	-	Enable Form Navigation up and down, and submit button with keyboard
FrameRateLimiter	class	-	SombraStudios.Shared.Optimization.FrameRate	Optimization/FrameRate/FrameRateLimiter.cs	-	Limit FPS to optimize performance to the maximum refresh rate of the monitor This script don't need to and can't be attached to any Game...
FrameRateStrategy	class	StrategySO	SombraStudios.Shared.Optimization.FrameRate	Optimization/FrameRate/FrameRateStrategy.cs	-	Command to set the target frame rate of the application
